Distance;points;avg intensity;
465;2920;70.987544;
466;2968;69.149439;
467;2884;69.629737;
468;2952;69.535484;
469;2952;68.592798;
470;2984;69.514390;
471;2972;68.918789;
472;2928;68.699383;
473;2960;70.298749;
474;3020;70.263089;
475;3016;69.272750;
476;2952;70.326468;
477;2948;69.566396;
478;3064;68.547417;
479;2992;69.832164;
480;3040;68.568304;
481;3012;70.243741;
482;3056;68.960009;
483;3056;70.084343;
484;2980;68.887902;
485;3096;69.296657;
486;2984;70.017773;
487;3168;70.857171;
488;3092;70.853290;
489;3008;71.130589;
490;3072;69.410809;
491;3068;69.937394;
492;3112;69.931513;
493;3120;70.201217;
494;3064;73.254656;
495;3188;71.553274;
496;3056;71.082749;
497;3168;71.476219;
498;3116;70.798541;
499;3128;70.499248;
500;3184;70.556286;
501;3092;70.760545;
502;3160;71.162010;
503;3128;71.323594;
504;3208;71.907092;
505;3204;72.189881;
506;3160;71.906524;
507;3232;73.817185;
508;3172;76.600553;
509;3192;75.701110;
510;3184;74.567397;
511;3232;75.914964;
512;3130;74.425975;
513;2896;72.442674;
514;2836;72.572200;
515;2724;72.879753;
516;2720;72.338476;
517;2656;72.900714;
518;2584;72.206423;
519;2572;72.360685;
520;2492;72.097742;
521;2528;71.016998;
522;2412;72.924595;
523;2424;71.219439;
524;2360;72.645418;
525;2368;72.675231;
526;2308;73.144127;
527;2268;73.887010;
528;2264;72.139541;
529;2236;73.095003;
530;2212;72.762505;
531;2228;71.607451;
532;2096;72.303769;
533;2192;72.337765;
534;2100;73.037838;
535;2064;73.496228;
536;2108;72.782131;
537;1980;73.274240;
538;2104;71.491274;
539;1964;73.321091;
540;2000;72.838243;
541;1944;71.452150;
542;1948;72.949846;
543;1960;71.773844;
544;1864;72.542209;
545;1904;74.195753;
546;1916;73.700236;
547;1792;73.585110;
548;1896;74.076679;
549;1760;72.368182;
550;1840;73.478398;
551;1808;73.184751;
552;1732;73.037527;
553;1780;74.457050;
554;1680;74.875358;
555;1788;73.519950;
556;1676;74.436058;
557;1684;73.526489;
558;1664;75.097442;
559;1656;74.271126;
560;1688;74.595515;
561;1580;75.292306;
562;1608;72.761483;
563;1640;74.303219;
564;1572;74.120427;
565;1584;74.664507;
566;1512;74.798624;
567;1548;75.654790;
568;1544;75.057270;
569;1524;76.558411;
570;1480;76.689233;
571;1488;76.618862;
572;1476;76.916496;
573;1456;74.101529;
574;1452;75.615447;
575;1420;76.667794;
576;1408;75.600824;
577;1416;75.398816;
578;1404;74.870135;
579;1404;74.006677;
580;1344;75.103221;
581;1372;75.419097;
582;1340;75.093531;
583;1312;77.588330;
584;1340;74.757094;
585;1280;77.616435;
586;1324;78.032146;
587;1272;76.025289;
588;1252;77.499876;
589;1292;80.154405;
590;1208;77.740327;
591;1260;78.023639;
592;1220;77.138217;
593;1212;77.440093;
594;1216;79.046870;
595;1140;78.237229;
596;1220;77.748105;
597;1156;78.562695;
598;1156;78.566730;
599;1140;80.109478;
600;1080;80.747944;
601;1196;80.492341;
602;1092;80.529688;
603;1100;80.335313;
604;1088;82.038976;
605;1020;80.307902;
606;1132;81.916085;
607;1044;79.234990;
608;1044;81.145013;
609;1020;81.778479;
610;1020;82.049448;
611;1032;83.312928;
612;980;82.744547;
613;1008;79.110861;
614;960;83.561290;
615;996;84.694792;
616;948;84.340026;
617;928;82.567878;
618;968;83.975061;
619;908;83.949768;
620;956;84.536578;
621;880;86.081929;
622;904;83.014338;
623;892;84.497616;
624;848;87.745422;
625;916;85.479036;
626;832;86.722762;
627;860;88.172096;
628;840;87.424670;
629;780;88.833411;
630;880;92.961852;
631;776;89.943879;
632;820;92.006725;
633;784;89.855848;
634;756;91.715296;
635;808;87.590778;
636;720;92.202138;
637;780;90.864145;
638;736;89.792336;
639;736;89.785252;
640;732;91.195177;
641;664;92.588381;
642;752;92.266066;
643;668;96.600558;
644;700;93.667762;
645;676;94.364892;
646;620;91.492219;
647;708;97.408310;
648;612;94.713718;
649;660;95.736929;
650;636;98.430895;
651;608;95.830300;
652;632;102.861189;
653;560;98.181890;
654;628;103.272168;
655;568;103.891318;
656;576;108.092718;
657;572;104.982793;
658;508;105.492480;
659;588;108.928811;
660;524;108.745102;
661;552;118.253710;
662;504;109.319116;
663;496;120.070625;
664;516;110.092571;
665;468;110.868149;
666;516;116.248603;
667;460;111.010171;
668;472;112.510253;
669;464;108.637857;
670;408;107.385927;
671;476;112.381970;
672;404;109.607882;
673;444;114.948723;
674;416;112.186042;
675;364;110.389231;
676;444;115.874129;
677;356;116.136004;
678;400;111.753707;
679;360;119.254456;
680;364;118.290734;
681;360;121.964055;
682;312;122.783841;
683;368;122.508443;
684;308;126.884658;
685;336;122.923221;
686;312;129.811912;
687;248;138.354313;
688;348;132.616864;
689;252;139.829917;
690;308;138.499899;
691;248;139.180905;
692;260;151.010580;
693;260;128.647636;
694;216;135.615006;
695;260;125.308938;
696;220;127.283146;
697;220;121.946648;
698;216;124.847138;
699;152;131.916677;
700;240;119.613194;
701;156;128.917601;
702;200;118.560938;
703;160;129.127851;
704;136;124.222694;
705;188;130.215073;
706;100;124.757379;
707;184;128.695070;
708;92;136.078999;
709;136;131.745719;
710;104;139.428942;
711;72;136.727633;
712;132;143.776785;
713;60;150.158056;
714;108;145.618199;
715;48;160.121068;
716;44;147.885062;
717;76;167.539726;
718;32;183.236139;
719;52;194.921893;
720;20;203.673773;
721;28;238.193810;
722;8;235.526143;
723;4;255.000000;
Radius local max;Avg Intensity;
3;65.193826;
6;63.845337;
9;56.928410;
Radius local min;Avg Intensity;
1;57.076281;
11;50.919134;
